artist,song
Kardinal Offishall,Dangerous
Madcon,Beggin (original version)
September,Cry for You
Rihanna,Disturbia
Guru Josh Project,Infinity 2008
Britney Spears,Break the Ice
Lil Wayne,Lollipop
Basshunter,Now You're Gone - Video Edit
Kanye West,Flashing Lights
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland)
Katy Perry,Hot N Cold
Rihanna,Don't Stop The Music
Snoop Dogg,Sensual Seduction
Akon,Right Now (Na Na Na)
Britney Spears,Womanizer
Eric Prydz,Pjanoo - Radio Edit
Kelly Rowland,Work
Jeezy,Put On
Madonna,Give It 2 Me
The Pussycat Dolls,When I Grow Up
will.i.am,Heartbreaker
Soulja Boy,Crank That (Soulja Boy)
Britney Spears,Piece of Me
T.I.,Live Your Life
Ne-Yo,Closer
Lil Wayne,A Milli
Colby O'Donis,What You Got
Miley Cyrus,See You Again
Basshunter,All I Ever Wanted - Radio Edit
Chris Brown,Kiss Kiss (feat. T-Pain)
Finger Eleven,Paralyzer
Alesha Dixon,The Boy Does Nothing
Dizzee Rascal,Dance Wiv Me - Radio Edit
Gabriella Cilmi,Sweet About Me
Jack White,Another Way to Die
Plies,Hypnotized (feat. Akon)
The Pussycat Dolls,I Hate This Part
Sean Kingston,Take You There
Natasha Bedingfield,Pocketful of Sunshine
The Offspring,"You're Gonna Go Far, Kid"
Kanye West,Homecoming
Estelle,American Boy
Saving Abel,Addicted
Pendulum,Propane Nightmares
The Game,My Life
Danity Kane,Damaged
P!nk,So What
Kanye West,Love Lockdown
Gym Class Heroes,Cookie Jar (feat. The-Dream)
M.I.A.,Paper Planes
3 Doors Down,It's Not My Time
Kylie Minogue,Wow
Mariah Carey,Touch My Body
MGMT,Kids
The Ting Tings,Shut Up and Let Me Go
Lil Wayne,Got Money
Santana,Into the Night (feat. Chad Kroeger)
The-Dream,I Luv Your Girl
Wiley,Wearing My Rolex - Radio Edit
Usher,Love in This Club (feat. Young Jeezy)
Sam Sparro,Black & Gold - Radio Edit
"H ""two"" O",What's It Gonna Be (feat. Platnum)
The Ting Tings,That's Not My Name
Plies,"Bust It Baby, Pt. 2 (feat. Ne-Yo)"
James Morrison,Broken Strings
Leona Lewis,Run
Metro Station,Shake It
T.I.,Whatever You Like
Trey Songz,Can't Help but Wait
OneRepublic,Stop And Stare
Alexandra Burke,Hallelujah
Mary J. Blige,Just Fine
Jordin Sparks,One Step At a Time
Coldplay,Viva La Vida
Kings of Leon,Sex on Fire
Kanye West,Good Life
Duffy,Mercy
David Archuleta,Crush
J. Holiday,Suffocate - Superclean
Gavin DeGraw,In Love With a Girl
Jordin Sparks,Tattoo
Coldplay,Violet Hill
Ray J,Sexy Can I feat. Yung Berg
Jennifer Hudson,Spotlight
John Legend,Green Light (feat. André 3000)
Jonas Brothers,Burnin' Up
Lupe Fiasco,Superstar (feat. Matthew Santos)
Chris Brown,Forever
Adele,Chasing Pavements
Leona Lewis,Better in Time
Fergie,Clumsy
T-Pain,Can't Believe It (feat. Lil' Wayne)
Black Eyed Peas,I Gotta Feeling
Lady Gaga,Poker Face
Beyoncé,Halo
David Guetta,Sexy Bitch (feat. Akon)
Flo Rida,Right Round
Taylor Swift,Love Story
Pitbull,Hotel Room Service
Britney Spears,Circus
Lady Gaga,LoveGame
Skillet,Monster
The Prodigy,Omen
Black Eyed Peas,Meet Me Halfway
Kanye West,Heartless
Kid Cudi,Day 'N' Nite (Nightmare)
Lady Gaga,Just Dance
Britney Spears,If U Seek Amy
Pitbull,I Know You Want Me (Calle Ocho)
Mariah Carey,Obsessed
Beyoncé,Sweet Dreams
Agnes,Release Me
Black Eyed Peas,Boom Boom Pow
Shakira,She Wolf
Lady Gaga,Paparazzi
JAY-Z,Empire State Of Mind
OneRepublic,All The Right Moves
Jeremih,Birthday Sex
Cascada,Evacuate The Dancefloor
Linkin Park,New Divide
Kevin Rudolf,Let It Rock
JAY-Z,Run This Town
Lady Gaga,Bad Romance
T.I.,Live Your Life
Eminem,We Made You
Dizzee Rascal,Bonkers
Ciara,Love Sex Magic (feat. Justin Timberlake)
Rihanna,Russian Roulette
Soulja Boy,Turn My Swag On
The xx,Intro
Jay Sean,Down
Keri Hilson,Turnin Me On - Original Dirty
David Guetta,When Love Takes Over (feat. Kelly Rowland)
Cheryl,Fight For This Love
Soulja Boy,Kiss Me Thru The Phone
Eminem,Crack A Bottle
P!nk,Sober
Tinchy Stryder,Number 1
Pixie Lott,"Mama Do (Uh Oh, Uh Oh)"
JLS,Beat Again - Radio Edit
3OH!3,DONTTRUSTME
A.R. Rahman,Jai Ho! (You Are My Destiny)
The Pussycat Dolls,I Hate This Part
Akon,Beautiful
Alexandra Burke,Bad Boys (feat. Flo Rida)
Mario,Break Up
Drake,Forever
Selena Gomez & The Scene,Naturally
Kanye West,Love Lockdown
The Veronicas,Untouched
Fabolous,Throw It In The Bag
Jason Derulo,Whatcha Say
Lily Allen,Not Fair
T.I.,Dead And Gone
Sean Kingston,Fire Burning
Empire of the Sun,Walking On A Dream
Cobra Starship,Good Girls Go Bad (feat. Leighton Meester)
Nickelback,If Today Was Your Last Day
La Roux,Bulletproof
Kasabian,Fire
Calvin Harris,I'm Not Alone - Radio Edit
Justin Bieber,One Time
Jamie Foxx,Blame It
La Roux,In For The Kill
Muse,Uprising
Nickelback,Gotta Be Somebody
James Morrison,Broken Strings
T.I.,Whatever You Like
Dizzee Rascal,Holiday
Beyoncé,Single Ladies (Put a Ring on It)
Boys Like Girls,Love Drunk
The-Dream,Rockin' That Shit
OneRepublic,Secrets
JLS,Everybody in Love
Jason Aldean,Big Green Tractor
The Fray,Never Say Never
Lily Allen,The Fear
Kings of Leon,Sex on Fire
Drake,Best I Ever Had
Kelly Clarkson,Already Gone
Miley Cyrus,Party In The U.S.A.
Jordin Sparks,Battlefield
Ne-Yo,Mad
Green Day,21 Guns
Keri Hilson,Knock You Down
Taylor Swift,You Belong With Me
Shinedown,Second Chance
Asher Roth,I Love College
Katy Perry,Waking Up In Vegas
Kelly Clarkson,My Life Would Suck Without You
Mumford & Sons,Little Lion Man
The Fray,You Found Me
Bruno Mars,Just the Way You Are
Eminem,Love The Way You Lie
Lady Gaga,Bad Romance
Stromae,Alors on danse - Radio Edit
Kesha,TiK ToK
David Guetta,Memories (feat. Kid Cudi)
Taio Cruz,Dynamite
Rihanna,Only Girl (In The World)
Katy Perry,California Gurls
Kesha,Take It Off
INNA,Hot - Play & Win Radio Version
Far East Movement,Like A G6
David Guetta,Gettin' Over You (feat. Fergie & LMFAO)
Duck Sauce,Barbra Streisand - Radio Edit
Lucenzo,Danza Kuduro (feat. Don Omar)
Rihanna,Te Amo
Timbaland,Carry Out (Featuring Justin Timberlake)
DJ Fresh,Gold Dust - Radio Edit
Edward Maya,Stereo Love - Radio Edit
Taio Cruz,Break Your Heart
Black Eyed Peas,Imma Be
Sidney Samson,Riverside
Eminem,Not Afraid
Lady Gaga,Alejandro
Rihanna,Rude Boy
Ne-Yo,Beautiful Monster
3OH!3,Starstrukk
Black Eyed Peas,The Time (Dirty Bit)
Kelly Rowland,Commander
Swedish House Mafia,One (Your Name) - Radio Edit
Chris Brown,Deuces (feat. Tyga & Kevin McCall)
Usher,DJ Got Us Fallin' In Love (feat. Pitbull)
Iyaz,Replay
Flo Rida,Club Can't Handle Me (feat. David Guetta)
Sean Kingston,Eenie Meenie
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale)
Tinie Tempah,Written in the Stars (feat. Eric Turner)
Bruno Mars,Talking to the Moon
Miley Cyrus,Can't Be Tamed
Mike Posner,Cooler Than Me - Single Mix
Lady Gaga,Telephone
Yolanda Be Cool,We No Speak Americano (JT Radio Edit)
Rihanna,Hard
Tinie Tempah,Pass Out
Adam Lambert,Whataya Want from Me
Trey Songz,Bottoms Up (feat. Nicki Minaj)
Timbaland,If We Ever Meet Again (Featuring Katy Perry)
Enrique Iglesias,I Like It
Tim Berg,Seek Bromance - Avicii’s Vocal Edit
Usher,OMG (feat. will.i.am)
Maroon 5,Misery
Jay Sean,Down
Rihanna,Man Down
3OH!3,My First Kiss (feat. Ke$ha)
Justin Bieber,Baby
Cali Swag District,Teach Me How to Dougie
Swedish House Mafia,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah
K'NAAN,Wavin' Flag
Ludacris,How Low
Kesha,Blah Blah Blah (feat. 3OH!3)
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)"
Jason Derulo,In My Head
Aloe Blacc,I Need A Dollar
B.o.B,Airplanes (feat. Hayley Williams of Paramore)
Ludacris,My Chick Bad
Nelly,Just A Dream
Rihanna,What's My Name?
Shontelle,Impossible
Take That,The Flood
Trey Songz,Say Aah (feat. Fabolous)
Jason Derulo,Whatcha Say
Drake,Over
Example,Kickstarts
Plan B,She Said
The Saturdays,Higher
Jay Sean,Do You Remember
Usher,Hey Daddy (Daddy's Home)
Lil Wayne,Right Above It
The Wanted,All Time Low
Kesha,Your Love Is My Drug
Ellie Goulding,Starry Eyed
Drake,Find Your Love
Jason Derulo,Ridin' Solo
Two Door Cinema Club,What You Know
JAY-Z,Young Forever
Young Money,BedRock
B.o.B,Nothin' on You (feat. Bruno Mars)
Katy Perry,Teenage Dream
Scouting For Girls,This Ain't a Love Song
Travie McCoy,Billionaire (feat. Bruno Mars)
Owl City,Fireflies
Alicia Keys,Empire State of Mind (Part II) Broken Down
Lady A,Need You Now
Taylor Swift,Back To December
Neon Trees,Animal
Kris Allen,Live Like We're Dying
Matt Cardle,When We Collide
Robyn,Dancing On My Own
The Band Perry,If I Die Young
B.o.B,Magic (feat. Rivers Cuomo)
Adele,Rolling in the Deep
Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance"
LMFAO,Party Rock Anthem
Katy Perry,Firework
Bruno Mars,Grenade
Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain)
Alexandra Stan,Mr. Saxobeat
David Guetta,Who's That Chick? (feat. Rihanna)
Jennifer Lopez,On The Floor
Rihanna,S&M
Kesha,Blow
Snoop Dogg,Sweat - Remix
Taio Cruz,Higher
Usher,More - RedOne Jimmy Joker Remix
Example,Changed the Way You Kiss Me - Radio Edit
Black Eyed Peas,Just Can’t Get Enough
David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida)
Lykke Li,I Follow Rivers - The Magician Remix
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)"
Selena Gomez & The Scene,Love You Like A Love Song
Wiz Khalifa,Black and Yellow
Katy Perry,E.T.
Britney Spears,I Wanna Go
Gym Class Heroes,Stereo Hearts (feat. Adam Levine)
Edward Maya,Stereo Love - Radio Edit
Enrique Iglesias,Tonight (I'm Fuckin' You)
Jeremih,Down On Me
Sak Noel,Loca People - Radio Edit
Olly Murs,Heart Skips a Beat (feat. Rizzle Kicks)
LMFAO,Sexy And I Know It
Cobra Starship,You Make Me Feel... (feat. Sabi)
Jessie J,Do It Like A Dude
DJ Fresh,Louder (feat. Sian Evans) - Radio Edit
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale)
Nickelback,When We Stand Together
M83,Midnight City
Britney Spears,Till the World Ends
Labrinth,Earthquake (feat. Tinie Tempah)
Jason Derulo,Don't Wanna Go Home
Coldplay,Paradise
Katy Perry,Last Friday Night (T.G.I.F.)
Adele,Set Fire to the Rain
Dr. Dre,I Need A Doctor
Lil Wayne,6 Foot 7 Foot
DJ Khaled,I'm On One
Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes)
Far East Movement,Rocketeer
The Wanted,Glad You Came
Kesha,We R Who We R
Kelly Rowland,Motivation
Rihanna,We Found Love
Nicole Scherzinger,Don't Hold Your Breath
Mann,Buzzin Remix
Chris Brown,Yeah 3x
Swedish House Mafia,Save The World
Kanye West,All Of The Lights
Miguel,Sure Thing
Diddy - Dirty Money,Coming Home
Rihanna,What's My Name?
Chris Brown,Beautiful People
Avril Lavigne,What the Hell
Professor Green,Read All About It
Chase & Status,Blind Faith
Chip,Champion (feat. Chris Brown)
Selena Gomez & The Scene,Who Says
Rizzle Kicks,Down With The Trumpets
Lady Gaga,Born This Way
Nicki Minaj,Super Bass
Mac Miller,Donald Trump
Calvin Harris,Bounce (feat. Kelis) - Radio Edit
David Guetta,Without You (feat. Usher)
Foster The People,Pumped Up Kicks
Drake,Headlines
Jessie J,Price Tag
Jason Aldean,Dirt Road Anthem
Wiz Khalifa,Roll Up
OneRepublic,Good Life
Bad Meets Evil,Lighters
Bruno Mars,The Lazy Song
Lupe Fiasco,The Show Goes On
James Morrison,I Won't Let You Go
Jason Derulo,It Girl
Adele,Someone Like You
Red Hot Chili Peppers,The Adventures of Rain Dance Maggie
Keri Hilson,Pretty Girl Rock
P!nk,F**kin' Perfect
Blake Shelton,Honey Bee
Lady Gaga,The Edge Of Glory
Lady A,Just A Kiss
Hot Chelle Rae,Tonight Tonight
Grouplove,Tongue Tied
Coldplay,Every Teardrop Is a Waterfall
Beyoncé,Best Thing I Never Had
P!nk,Raise Your Glass
Christina Perri,Jar of Hearts
Bruno Mars,Marry You
The Band Perry,If I Die Young
Lil Wayne,How To Love
Charlene Soraia,Wherever You Will Go
Christina Perri,A Thousand Years
Rihanna,We Found Love
Carly Rae Jepsen,Call Me Maybe
fun.,We Are Young (feat. Janelle Monáe)
Sean Paul,She Doesn't Mind
Pitbull,International Love (feat. Chris Brown)
DEV,In The Dark
Adele,Skyfall
David Guetta,Turn Me On (feat. Nicki Minaj)
Rihanna,Where Have You Been
JAY-Z,Ni**as In Paris
Maroon 5,One More Night
Skrillex,Bangarang (feat. Sirah)
The Wanted,Chasing The Sun
Flo Rida,Whistle
will.i.am,This Is Love
David Guetta,She Wolf (Falling to Pieces) [feat. Sia]
Nicki Minaj,Pound The Alarm
Kendrick Lamar,Swimming Pools (Drank) - Extended Version
MARINA,Primadonna
Kanye West,Mercy
DJ Fresh,Hot Right Now (feat. RITA ORA) - Radio Edit
LMFAO,Sexy And I Know It
PSY,Gangnam Style (강남스타일)
Kesha,Die Young
Usher,Scream
Olly Murs,Troublemaker (feat. Flo Rida)
Linkin Park,BURN IT DOWN
Bruno Mars,Locked out of Heaven
Avicii,Levels - Radio Edit
Flo Rida,Good Feeling
Rihanna,Diamonds
Wiz Khalifa,"Work Hard, Play Hard"
Katy Perry,Part Of Me
Nicki Minaj,Starships
Kendrick Lamar,m.A.A.d city
Asaf Avidan & the Mojos,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit]
Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix
Azealia Banks,212
Maroon 5,Payphone
James Arthur,Impossible
Michel Teló,Ai Se Eu Te Pego - Live
Otto Knows,Million Voices - Radio Edit
Icona Pop,I Love It
Tyga,Rack City
Calvin Harris,Feel So Close - Radio Edit
Jennifer Lopez,Dance Again
Grimes,Oblivion
Adele,Rumour Has It
Coldplay,Paradise
Chris Brown,Turn Up the Music
Frank Ocean,Lost
Calvin Harris,Let's Go (feat. Ne-Yo)
The Script,Hall of Fame (feat. will.i.am)
Swedish House Mafia,Don't You Worry Child - Radio Edit
MARINA,How to Be a Heartbreaker
Justin Bieber,Boyfriend
David Guetta,Titanium (feat. Sia)
Jessie J,Domino
Taylor Swift,I Knew You Were Trouble.
ScHoolboy Q,Hands on the Wheel (feat. Asap Rocky)
P!nk,Try
Robbie Williams,Candy
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)"
Justin Bieber,As Long As You Love Me
Rita Ora,R.I.P. (feat. Tinie Tempah)
Alex Clare,Too Close
Tyga,Faded
Alesso,Years - ラジオ・エディット
Guy Sebastian,Battle Scars (feat. Lupe Fiasco)
Katy Perry,The One That Got Away
Avicii,Silhouettes - Original Radio Edit
Gotye,Somebody That I Used To Know
Flo Rida,Wild Ones (feat. Sia)
One Direction,What Makes You Beautiful
Lana Del Rey,Born To Die
Kesha,C'Mon
Owl City,Good Time
Calvin Harris,We'll Be Coming Back (feat. Example)
Emeli Sandé,"Read All About It, Pt. III"
Ellie Goulding,Lights - Single Version
Train,Drive By
Disclosure,Latch
Coldplay,Princess of China
One Direction,Live While We're Young
Gym Class Heroes,Ass Back Home (feat. Neon Hitch)
Carrie Underwood,Blown Away
alt-J,Breezeblocks
Chris Brown,Don't Wake Me Up
Kelly Clarkson,Stronger (What Doesn't Kill You)
Drake,The Motto
Katy Perry,Wide Awake
Rita Ora,How We Do (Party)
Rudimental,Feel the Love (feat. John Newman)
Lana Del Rey,Ride
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself)
Demi Lovato,Give Your Heart a Break
Drake,Take Care
Little Mix,Wings
Bruno Mars,It Will Rain
Cher Lloyd,Want U Back
Lorde,Royals
Robin Thicke,Blurred Lines
Imagine Dragons,Radioactive
Avicii,Wake Me Up
Bruno Mars,Locked out of Heaven
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz)
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
will.i.am,Scream & Shout
Stromae,Papaoutai
Bingo Players,Get Up (Rattle) - Vocal Edit
Naughty Boy,La La La
Tom Odell,Another Love
2 Chainz,We Own It (Fast & Furious)
David Guetta,Play Hard (feat. Ne-Yo & Akon)
Pitbull,Feel This Moment (feat. Christina Aguilera)
will.i.am,#thatPOWER
Lil Wayne,Love Me
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton)
Martin Garrix,Animals - Radio Edit
Jason Derulo,Talk Dirty (feat. 2 Chainz)
John Newman,Love Me Again
Britney Spears,Work B**ch
The Neighbourhood,Sweater Weather
Sebastian Ingrosso,Reload - Radio Edit
Capital Cities,Safe And Sound
Demi Lovato,Heart Attack
Arctic Monkeys,Why'd You Only Call Me When You're High?
Justin Bieber,Beauty And A Beat
Eminem,The Monster
Pitbull,Don't Stop the Party (feat. TJR)
Selena Gomez,Come & Get It
P!nk,True Love (feat. Lily Allen)
Disclosure,White Noise
Flo Rida,I Cry
Kanye West,Black Skinhead
Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix
Eminem,Berzerk
Icona Pop,I Love It (feat. Charli XCX)
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up)
Lorde,Team
Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit
Imagine Dragons,Demons
One Direction,One Way or Another (Teenage Kicks)
Taylor Swift,I Knew You Were Trouble.
Arctic Monkeys,Do I Wanna Know?
Rudimental,Waiting All Night (feat. Ella Eyre)
Klangkarussell,Sonnentanz - Sun Don't Shine
Calvin Harris,Drinking from the Bottle (feat. Tinie Tempah)
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)"
P!nk,Try
Ylvis,The Fox (What Does the Fox Say?)
Ellie Goulding,Burn
Baauer,Harlem Shake
Calvin Harris,I Need Your Love (feat. Ellie Goulding)
Katy Perry,This Is How We Do
AWOLNATION,Sail
Duke Dumont,Need U (100%) [feat. A*M*E] - Radio Edit
Jason Derulo,The Other Side
Storm Queen,Look Right Through - MK Vocal Edit
Calvin Harris,Sweet Nothing (feat. Florence Welch)
Katy Perry,Unconditionally
Wale,Bad (feat. Rihanna) - Remix
Ciara,Body Party
Drake,Started From the Bottom
Birdy,Wings
Bastille,Of The Night
Olly Murs,Dear Darlin'
Katy Perry,Roar
Blake Shelton,Sure Be Cool If You Did
Calvin Harris,Thinking About You (feat. Ayah Marar)
JAY-Z,Holy Grail
Bridgit Mendler,Ready or Not
The Saturdays,What About Us
Bastille,Pompeii
One Direction,Best Song Ever
Nelly,Hey Porsche
Zedd,Clarity
Miley Cyrus,Wrecking Ball
Chris Brown,Fine China
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams)
Armin van Buuren,This Is What It Feels Like
Justin Timberlake,Mirrors
Bruno Mars,Treasure
Of Monsters and Men,Little Talks
Miley Cyrus,We Can't Stop
J. Cole,Power Trip (feat. Miguel)
Paramore,Still into You
Christina Perri,human
Drake,"Hold On, We're Going Home"
James Blunt,Bonfire Heart
Maroon 5,Daylight
Childish Gambino,3005
Avril Lavigne,Here's to Never Growing Up
Taylor Swift,22
Passenger,Let Her Go
Ariana Grande,The Way
Rihanna,Stay
Justin Timberlake,Suit & Tie (feat. Jay-Z)
Bruno Mars,When I Was Your Man
Florida Georgia Line,Cruise
Pharrell Williams,"Happy - From ""Despicable Me 2"""
Katy Perry,Dark Horse
ScHoolboy Q,Collard Greens
Iggy Azalea,Fancy
Maroon 5,Animals
Sam Smith,Stay With Me
MAGIC!,Rude
Sia,Chandelier
John Legend,All of Me
ZHU,Faded
Meghan Trainor,All About That Bass
David Guetta,Lovers on the Sun (feat. Sam Martin)
Iggy Azalea,Black Widow
Tove Lo,Habits (Stay High)
Oliver Heldens,Gecko (Overdrive) - Radio Edit
DJ Snake,You Know You Like It
Jason Derulo,Talk Dirty (feat. 2 Chainz)
Maroon 5,Maps
David Guetta,Bad (feat. Vassy) - Radio Edit
Tinashe,2 On (feat. ScHoolboy Q)
Route 94,My Love (feat. Jess Glynne)
Taylor Swift,Bad Blood
Trey Songz,Na Na
Calvin Harris,Under Control (feat. Hurts)
O.T. Genasis,CoCo
Jason Derulo,Wiggle (feat. Snoop Dogg)
Lilly Wood and The Prick,Prayer in C - Robin Schulz Radio Edit
Jeremih,Don't Tell 'Em
Nicki Minaj,Anaconda
Calvin Harris,Blame (feat. John Newman)
DJ Snake,Turn Down for What
Pitbull,Timber (feat. Ke$ha)
OneRepublic,Counting Stars
Bobby Shmurda,Hot N*gga
Calvin Harris,Summer
ScHoolboy Q,Man Of The Year
Nico & Vinz,Am I Wrong
Becky G,Shower
Sigma,Nobody To Love - Radio Edit
The Chainsmokers,#SELFIE - Original Mix
Lorde,Team
Rixton,Me And My Broken Heart
Klingande,Jubel - Radio Edit
Mr. Probz,Waves - Robin Schulz Radio Edit
Paloma Faith,Only Love Can Hurt Like This
Kiesza,Hideaway
Ellie Goulding,Burn
Ariana Grande,Break Free
Kid Ink,Show Me (feat. Chris Brown)
Tove Lo,Talking Body
Chris Brown,Loyal (feat. Lil Wayne & Tyga)
OneRepublic,Love Runs Out
Olly Murs,Up (feat. Demi Lovato)
Peking Duk,High (feat. Nicole Millar)
Milky Chance,Stolen Dance
Ed Sheeran,Don't
Ariana Grande,Love Me Harder
Enrique Iglesias,Bailando - Spanish Version
Avicii,Hey Brother
Jessie J,Bang Bang
Duke Dumont,I Got U
Gorgon City,Ready For Your Love
Taylor Swift,Style
MKTO,Classic
Disclosure,Latch
Ariana Grande,Problem
Charli XCX,Boom Clap
One Direction,Steal My Girl
Tiësto,Red Lights
Selena Gomez,The Heart Wants What It Wants
Rita Ora,I Will Never Let You Down
5 Seconds of Summer,She Looks So Perfect
The Script,Superheroes
Taylor Swift,Shake It Off
One Direction,Night Changes
Ed Sheeran,Sing
Alesso,Heroes (we could be)
Tiësto,Wasted
G.R.L.,Ugly Heart
Coldplay,A Sky Full of Stars
Clean Bandit,Rather Be (feat. Jess Glynne)
Zedd,Stay The Night - Featuring Hayley Williams Of Paramore
Sia,Elastic Heart
One Direction,Story of My Life
Alex & Sierra,Little Do You Know
Omarion,Post to Be (feat. Chris Brown & Jhene Aiko)
Echosmith,Cool Kids
Natalie La Rose,Somebody
Vance Joy,Riptide
Beyoncé,Drunk in Love (feat. Jay-Z)
Maroon 5,Sugar
Ella Henderson,Ghost
Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug"""
Chris Brown,New Flame (feat. Usher & Rick Ross)
Sheppard,Geronimo
Olly Murs,Wrapped Up (feat. Travie McCoy)
Sam Smith,Money On My Mind
Jason Derulo,Trumpets
Nicki Minaj,Bed Of Lies
Nick Jonas,Jealous - Remix
Mark Ronson,Uptown Funk (feat. Bruno Mars)
Ed Sheeran,Thinking out Loud
Wiz Khalifa,See You Again (feat. Charlie Puth)
Justin Bieber,What Do You Mean?
Major Lazer,Lean On (feat. MØ & DJ Snake)
The Weeknd,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack"
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey"""
Calvin Harris,Outside (feat. Ellie Goulding)
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)"
Demi Lovato,Cool for the Summer
Taylor Swift,Blank Space
The Weeknd,The Hills
The Neighbourhood,Daddy Issues
Deorro,Five More Hours
Avicii,The Nights
DJ Snake,You Know You Like It
Adam Lambert,Ghost Town
Rae Sremmurd,No Type
Taylor Swift,Bad Blood
Flo Rida,GDFR (feat. Sage the Gemini & Lookas)
Robin Schulz,Sugar (feat. Francesco Yates)
Calvin Harris,How Deep Is Your Love
Philip George,Wish You Were Mine - Radio Edit
Trey Songz,Na Na
Fall Out Boy,Centuries
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks)
Lost Frequencies,Are You With Me - Radio Edit
Twenty One Pilots,Stressed Out
Fifth Harmony,Worth It (feat. Kid Ink)
KALEO,Way down We Go
Sam Smith,Like I Can
Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix
Martin Solveig,Intoxicated - New Radio Mix
Avicii,Waiting For Love
Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)
Taylor Swift,Wildest Dreams
The Weeknd,In The Night
Pitbull,Time of Our Lives
Galantis,Runaway (U & I)
Rihanna,Bitch Better Have My Money
Zara Larsson,Lush Life
One Direction,Drag Me Down
Travis Scott,Antidote
Years & Years,King
Demi Lovato,Confident
Lemaitre,Closer
Selena Gomez,Same Old Love
Pia Mia,Do It Again
Flo Rida,My House
Silentó,Watch Me (Whip / Nae Nae)
Chris Brown,Ayo
The Strumbellas,Spirits
Fetty Wap,Trap Queen
Tove Lo,Talking Body
Beyoncé,7/11
Lana Del Rey,High By The Beach
Zara Larsson,Never Forget You
Jeremih,oui
Drake,Hotline Bling
Selena Gomez,Kill Em With Kindness
Birdy,Let It All Go
Fetty Wap,679 (feat. Remy Boyz)
Ariana Grande,Love Me Harder
The Weeknd,Can't Feel My Face
SAYGRACE,You Don't Own Me (feat. G-Eazy)
X Ambassadors,Renegades
R. City,Locked Away (feat. Adam Levine)
Kygo,Stole the Show
Tame Impala,The Less I Know The Better
Selena Gomez,Good For You
Fetty Wap,My Way (feat. Monty)
Hozier,Take Me To Church
Taylor Swift,Style
Alessia Cara,Here
Sam Smith,"Writing's On The Wall - From ""Spectre"" Soundtrack"
David Guetta,Bang My Head (feat. Sia & Fetty Wap)
Meek Mill,All Eyes on You (feat. Chris Brown & Nicki Minaj)
Big Sean,I Don't Fuck With You
Kygo,Firestone
Drake,Jumpman
Petit Biscuit,Sunset Lover
Shawn Mendes,Stitches
Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)"
Selena Gomez,The Heart Wants What It Wants
Jack Ü,Where Are Ü Now (with Justin Bieber)
Ellie Goulding,On My Mind
Bryson Tiller,Don't
Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)"
Joel Adams,Please Don't Go
Zedd,I Want You To Know
Jonas Blue,Fast Car
BØRNS,Electric Love
Sigala,Easy Love
Justin Bieber,Sorry
Ariana Grande,One Last Time
Little Mix,Black Magic
One Direction,Perfect
Years & Years,Shine
Meghan Trainor,Lips Are Movin
Nicky Jam,El Perdón - Forgiveness
The Weeknd,Starboy
Drake,One Dance
Justin Bieber,Love Yourself
The Chainsmokers,Closer
Adele,Hello
Desiigner,Panda
Burak Yeter,Tuesday (feat. Danelle Sandoval)
Sia,Cheap Thrills (feat. Sean Paul)
OneRepublic,Wherever I Go
Rihanna,Work
Coldplay,Hymn for the Weekend
Justin Bieber,Sorry
